dataset,generating_model,attribution_method,judging_model,fill_strategy,occlusion_level,mean_accuracy
imagenet,independent,dino+u2net_sum,vgg16,white,65.0,0.431
imagenet,independent,dino+u2net_sum,vgg16,white,70.0,0.389
imagenet,independent,dino+u2net_sum,vgg16,white,75.0,0.303
imagenet,independent,dino+u2net_sum,vgg16,white,80.0,0.219
imagenet,independent,dino+u2net_sum,vgg16,white,85.0,0.129
imagenet,independent,dino+u2net_sum,vgg16,white,90.0,0.06
imagenet,independent,dino+u2net_sum,vgg16,white,95.0,0.022
imagenet,independent,dino+u2net_sum,vgg16,white,100.0,0.001
imagenet,independent,dino448,mobilenet_v2,black,0.0,0.801
imagenet,independent,dino448,mobilenet_v2,black,5.0,0.786
imagenet,independent,dino448,mobilenet_v2,black,10.0,0.788
imagenet,independent,dino448,mobilenet_v2,black,15.0,0.782
imagenet,independent,dino448,mobilenet_v2,black,20.0,0.78
imagenet,independent,dino448,mobilenet_v2,black,25.0,0.767
imagenet,independent,dino448,mobilenet_v2,black,30.0,0.764
imagenet,independent,dino448,mobilenet_v2,black,35.0,0.765
imagenet,independent,dino448,mobilenet_v2,black,40.0,0.758
imagenet,independent,dino448,mobilenet_v2,black,45.0,0.753
imagenet,independent,dino448,mobilenet_v2,black,50.0,0.725
