image_id,explainer,judge_model,AUC,DROP,InflectionPoint_max_slope,InflectionPoint_threshold
image_00187,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00188,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00188,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00189,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00189,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00190,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00190,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00191,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00191,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00192,grad_cam,resnet50,0.375,1.0,25.0,50.0
image_00192,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00193,grad_cam,resnet50,0.025,1.0,0.0,5.0
image_00193,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00194,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00194,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00195,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00195,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00196,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00196,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00197,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00197,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00198,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00198,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00199,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00199,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00200,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00200,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
