image_id,explainer,judge_model,SSMS_score,S,alpha,entropy,sparsity
image_00022,grad_cam,resnet50,1.0,16018.96484375,2.1322872638702393,10.407719612121582,0.31130420918367346
image_00022,grad_cam,mobilenet_v2,1.0,16018.96484375,2.1322872638702393,10.407719612121582,0.31130420918367346
image_00023,grad_cam,resnet50,0.0,16995.65234375,1.9522844552993774,10.613520622253418,0.09446747448979592
image_00023,grad_cam,mobilenet_v2,1.0,16995.65234375,1.9522844552993774,10.613520622253418,0.09446747448979592
image_00024,grad_cam,resnet50,1.0,23102.857421875,1.1718525886535645,10.59764289855957,0.15158641581632654
image_00024,grad_cam,mobilenet_v2,1.0,23102.857421875,1.1718525886535645,10.59764289855957,0.15158641581632654
image_00025,grad_cam,resnet50,1.0,20082.69921875,1.4984688758850098,10.590115547180176,0.14483019770408162
image_00025,grad_cam,mobilenet_v2,1.0,20082.69921875,1.4984688758850098,10.590115547180176,0.14483019770408162
image_00026,grad_cam,resnet50,0.0,19711.501953125,1.5455188751220703,10.594069480895996,0.15351961096938777
image_00026,grad_cam,mobilenet_v2,1.0,19711.501953125,1.5455188751220703,10.594069480895996,0.15351961096938777
image_00027,grad_cam,resnet50,1.0,18864.41796875,1.6598223447799683,10.622123718261719,0.08219068877551021
image_00027,grad_cam,mobilenet_v2,1.0,18864.41796875,1.6598223447799683,10.622123718261719,0.08219068877551021
image_00028,grad_cam,resnet50,1.0,23435.451171875,1.1410298347473145,10.545415878295898,0.20037468112244897
